RMA No.,RMA Date,Name,Account No.,Email Address,Requested On,Items,Quantity,Status,Receiving Center,Last updated on:
2507038,2025-07-21 01:05 PM,DSG DISTRIBUTORS,,ALLANS@DSGDIST.COM,2025-07-21 01:05 PM,2,3,Issued RMA,SECO-LARM USA INC,2025-07-21 01:05 PM
2507035,2025-07-21 12:56 PM,BANNER SOLUTIONS,,micki.mitchen@bannersolutions.com,2025-07-21 12:56 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-21 12:56 PM
2507042,2025-07-21 03:59 PM,Locks Co,,ronnie@locksco.com,2025-07-21 10:15 AM,4,4,Issued RMA,SECO-LARM USA INC,2025-07-21 03:59 PM
2507037,2025-07-21 12:57 PM,D and A Gate and Access Control,,info@dagateaccess.com,2025-07-21 07:50 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-21 12:57 PM
2507033,2025-07-18 12:12 PM,Nouveau,,dwhite@nes-tx.com,2025-07-18 12:12 PM,2,5,Issued RMA,SECO-LARM USA INC,2025-07-18 12:12 PM
2507041,2025-07-21 03:59 PM,DWG,,rma@dwgdistribution.com,2025-07-18 11:01 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-21 03:59 PM
2507036,2025-07-21 12:56 PM,AVX Tech Warehouse,,warehouse@avx-tech.com,2025-07-18 07:52 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-21 12:56 PM
2507029,2025-07-17 02:52 PM,Wesco / Anixter,,ra-west-tri-edus@anixter.wescodist.com,2025-07-17 02:52 PM,1,8,Issued RMA,SECO-LARM USA INC,2025-07-17 02:52 PM
2503014,2025-07-17 02:00 PM,Anixter,,eder.trujillo@anixter.com,2025-07-17 02:00 PM,3,20,Completed,SECO-LARM USA INC,2025-07-17 02:02 PM
2507040,2025-07-21 03:58 PM,ESC SUPPLY,,jglover@esc-supply.com,2025-07-17 09:48 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-21 03:58 PM
2507032,2025-07-17 04:24 PM,Security control llc,,alarmdog1961@aol.com,2025-07-17 09:40 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-17 04:24 PM
2507028,2025-07-16 02:26 PM,Full protection andina,,gerencialogistica-compras@full-protection.com,2025-07-16 02:26 PM,5,80,Issued RMA,SECO-LARM USA INC,2025-07-16 02:26 PM
2507031,2025-07-17 04:23 PM,Jayso Electronics Corp,,Alan@jayso.com,2025-07-16 11:01 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-17 04:23 PM
2507030,2025-07-17 04:23 PM,"Silmar Electronics, Inc.",,tokeefe@silmarelectronics.com,2025-07-16 08:37 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-17 04:23 PM
2507043,2025-07-22 07:56 AM,Canal Alarm Devices,,fahad.k@canalalarm.com,2025-07-15 07:33 AM,9,19,Issued RMA,SECO-LARM USA INC,2025-07-22 07:56 AM
2507025,2025-07-14 04:27 PM,T.S DISTRIBUTORS,,etorres@tsdistributors,2025-07-14 08:15 AM,1,1,Waiting to ship out,SECO-LARM USA INC,2025-07-25 09:26 AM
2507024,2025-07-14 04:27 PM,"Optima Security, Inc.",,tom@optimasecurity.com,2025-07-13 10:13 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-14 04:27 PM
2507039,2025-07-21 03:58 PM,ADVANTAGE ELECTRONICS LLC,,cj@advantageelectronicsllc.com,2025-07-11 12:55 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-21 03:58 PM
2507027,2025-07-15 08:17 AM,Security Options,,support@securityoptionsltd.com,2025-07-10 07:54 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-15 08:17 AM
2507026,2025-07-15 08:17 AM,Security Options,,support@securityoptionsltd.com,2025-07-09 10:38 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-15 08:17 AM
2507023,2025-07-14 04:26 PM,Silmar Electronics Inc,,pseren@silmarelectronics.com,2025-07-09 06:41 AM,2,2,Issued RMA,SECO-LARM USA INC,2025-07-14 04:26 PM
2507022,2025-07-08 03:16 PM,"INALARM, S.A.",,sales@seco-larm.com,2025-07-08 03:16 PM,18,1623,Completed,SECO-LARM USA INC,2025-07-28 09:56 AM
2507021,2025-07-08 12:23 PM,koa,,cesar@koaedi.com,2025-07-08 12:12 PM,1,1,Completed,SECO-LARM USA INC,2025-07-25 12:11 PM
2507013,2025-07-08 09:55 AM,Lince Comercial S.A.S (Columbia),,laura.sanchez@lincecomercial.com,2025-07-08 09:55 AM,5,7,Awaiting Credit,SECO-LARM USA INC,2025-07-16 03:19 PM
2507020,2025-07-08 11:24 AM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-07-08 09:50 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-08 11:24 AM
2507012,2025-07-08 08:54 AM,koa,,cesar@koaedi.com,2025-07-08 08:30 AM,1,1,Completed,SECO-LARM USA INC,2025-07-25 12:36 PM
2506067,2025-07-07 03:07 PM,Cosesa in Guatemala,,marjorie.h@cosesa.com.gt,2025-07-07 03:07 PM,1,1,Completed,SECO-LARM USA INC,2025-07-17 04:10 PM
2507019,2025-07-08 11:24 AM,Access Distribution Centre,,Returns@accessdistributioncentre.com,2025-07-07 01:31 PM,1,3,Awaiting Credit,SECO-LARM USA INC,2025-07-25 09:26 AM
2507018,2025-07-08 11:24 AM,"Tristate Telecom, Inc.",,baila@tristatelvs.com,2025-07-07 11:34 AM,3,4,Issued RMA,SECO-LARM USA INC,2025-07-08 11:24 AM
2507011,2025-07-08 08:54 AM,HSI Security,,Nikole@hsi-security.com,2025-07-07 09:46 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-08 08:54 AM
2507017,2025-07-08 11:23 AM,SOUTHWEST AUTOMATED SECURITY,,JHattey@southwestautomated.com,2025-07-07 08:24 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-08 11:23 AM
2507010,2025-07-08 08:54 AM,AVX Tech Warehouse,,warehouse@avx-tech.com,2025-07-07 08:09 AM,1,1,Completed,SECO-LARM USA INC,2025-07-25 12:04 PM
2507016,2025-07-08 11:22 AM,Controlled Products Systems Group,,rebecca.ash@controlledproducts.com,2025-07-03 03:55 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-08 11:22 AM
2507015,2025-07-08 11:21 AM,Alarm Products Distributors,,rmadepartment@apdmn.com,2025-07-03 09:13 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-08 11:21 AM
2507014,2025-07-08 11:21 AM,International Controls and Equipment,,dchippa@icegatesystems.com,2025-07-03 08:43 AM,2,2,Awaiting Credit,SECO-LARM USA INC,2025-07-21 08:37 AM
2507008,2025-07-03 08:35 AM,JLM WHOLESALE,,DENEEN@JLMWHOLESALE.COM,2025-07-03 08:25 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-03 08:35 AM
2506066,2025-07-03 08:24 AM,"SILMAR ELECTRONICS, INC",,mparra@silmarelectronics.com,2025-07-03 08:24 AM,1,2,Awaiting Credit,SECO-LARM USA INC,2025-07-16 04:21 PM
2507009,2025-07-03 11:00 AM,koa,,cesar@koaedi.com,2025-07-02 09:42 AM,10,10,Issued RMA,SECO-LARM USA INC,2025-07-03 11:00 AM
2507006,2025-07-03 08:27 AM,Security Fence Inc.,,carsonw@securityfenceinc.net,2025-07-01 12:33 PM,1,1,Completed,SECO-LARM USA INC,2025-07-25 12:12 PM
2507005,2025-07-03 08:25 AM,ESC-SUPPLY,,jmobley@esc-supply.com,2025-07-01 08:22 AM,1,1,Completed,SECO-LARM USA INC,2025-07-25 12:09 PM
2507004,2025-07-03 08:25 AM,T.S DISTRIBUTORS,,etorres@tsdistributors,2025-06-30 08:30 AM,1,1,Completed,SECO-LARM USA INC,2025-07-25 12:05 PM
2507003,2025-07-03 08:25 AM,IMLSS,,sanda.vung@imlss.com,2025-06-27 01:11 PM,1,1,Completed,SECO-LARM USA INC,2025-07-25 12:08 PM
2507007,2025-07-03 08:35 AM,Lone Star Systems Supply,,cynthiav@lonestar-us.com,2025-06-27 12:12 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-03 08:35 AM
2507002,2025-07-03 08:25 AM,Alarmax Ft Lauderdale,,derek.bonner3@gmail.com,2025-06-27 12:01 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-03 08:25 AM
2507001,2025-07-03 08:25 AM,Alarm Products Distributors,,rmadepartment@apdmn.com,2025-06-27 11:15 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-07-03 08:25 AM
2506065,2025-06-27 10:13 AM,EVELYN ROACH ENTERPRISES,,support@seco-larm.com,2025-06-27 10:13 AM,2,24,Issued RMA,SECO-LARM USA INC,2025-06-27 10:13 AM
2506064,2025-06-27 09:21 AM,Wayne White Counties Electric Coop,,tech.dept@wwcec.com,2025-06-26 12:41 PM,1,1,Completed,SECO-LARM USA INC,2025-07-15 03:35 PM
2506063,2025-06-26 08:48 AM,Beth-El America LLC,,a.skoczylas@be-us.com,2025-06-26 07:34 AM,1,1,Completed,SECO-LARM USA INC,2025-07-25 12:06 PM
2506062,2025-06-25 11:47 AM,Apple Electronics & Security LLC,,mark@applesecure.net,2025-06-25 11:03 AM,1,3,Issued RMA,SECO-LARM USA INC,2025-06-25 11:47 AM
2506061,2025-06-25 11:43 AM,Amazon Operators & Access Control,,jason.amazonoperators@gmail.com,2025-06-25 10:08 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-25 11:43 AM
2506060,2025-06-25 11:43 AM,The Systems Depot,,jessica.walling@sdepot.com,2025-06-25 05:38 AM,1,1,Completed,SECO-LARM USA INC,2025-07-15 03:37 PM
2506059,2025-06-25 11:43 AM,Ainsley Bell,,ainsley.bell@anixter.com,2025-06-24 01:00 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-25 11:43 AM
2506054,2025-06-24 02:46 PM,"Innovative Security Systems, Inc.",,bbailey@innovativesecurity.com,2025-06-24 12:07 PM,1,2,Issued RMA,SECO-LARM USA INC,2025-06-24 02:46 PM
2506058,2025-06-25 11:43 AM,Southeast Access Technologies,,shannon@seaccesstech.com,2025-06-24 11:29 AM,1,2,Completed,SECO-LARM USA INC,2025-07-21 07:54 AM
2506053,2025-06-23 04:41 PM,CKG Incorporated,,mountainviewrvandboatstorage@gmail.com,2025-06-23 04:34 PM,1,1,Awaiting Credit,SECO-LARM USA INC,2025-07-25 09:26 AM
2506052,2025-06-20 12:07 PM,Pre-Wire Solutions,,jgprewire@gmail.com,2025-06-20 11:01 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-20 12:07 PM
2506051,2025-06-20 12:07 PM,MultiSales Inc.,,purchasing@MultiSalesInc.com,2025-06-20 08:24 AM,1,1,Completed,SECO-LARM USA INC,2025-07-07 10:38 AM
2506057,2025-06-25 11:43 AM,Wesco,,Whitney.Green@anixter.com,2025-06-19 01:35 PM,1,1,Waiting to ship out,SECO-LARM USA INC,2025-07-14 11:39 AM
2506056,2025-06-25 11:42 AM,Wesco,,Whitney.Green@anixter.com,2025-06-19 01:26 PM,1,1,Waiting to ship out,SECO-LARM USA INC,2025-07-14 11:39 AM
2506055,2025-06-25 11:42 AM,Southwest Automated Security,,mletteer@southwestautomated.com,2025-06-19 01:11 PM,1,1,Completed,SECO-LARM USA INC,2025-07-21 07:53 AM
2506050,2025-06-19 01:05 PM,"The Security Source, Inc.",,msteffancin@thesecuritysourceinc.com,2025-06-19 12:32 PM,1,1,Completed,SECO-LARM USA INC,2025-07-07 10:36 AM
2506048,2025-06-19 01:04 PM,Security Options,,support@securityoptionsltd.com,2025-06-19 12:08 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-19 01:04 PM
2506047,2025-06-19 12:01 PM,Alarmax Ft Lauderdale,,derek.bonner3@gmail.com,2025-06-19 09:56 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-19 12:01 PM
2506049,2025-06-19 01:04 PM,Ainsley Bell,,ainsley.bell@anixter.com,2025-06-19 09:05 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-19 01:04 PM
2506031,2025-06-19 12:00 PM,Southwest Automated Security,,anthony@southwestautomated.com,2025-06-18 04:13 PM,1,1,Completed,SECO-LARM USA INC,2025-07-07 10:36 AM
2506043,2025-06-18 10:54 AM,UPS Delivery Refusal,,support@seco-larm.com,2025-06-18 10:54 AM,1,2,Issued RMA,SECO-LARM USA INC,2025-06-18 10:54 AM
2506046,2025-06-19 11:59 AM,Wesco,,Whitney.Green@anixter.com,2025-06-18 08:46 AM,1,1,Waiting to ship out,SECO-LARM USA INC,2025-07-14 11:44 AM
2506041,2025-06-17 02:23 PM,T.S DISTRIBUTORS,,etorres@tsdistributors,2025-06-17 02:16 PM,1,1,Completed,SECO-LARM USA INC,2025-07-25 12:13 PM
2506040,2025-06-17 01:20 PM,UPS Delivery Refusal,,support@seco-larm.com,2025-06-17 01:20 PM,1,2,Issued RMA,SECO-LARM USA INC,2025-06-17 01:20 PM
2506045,2025-06-19 11:59 AM,Security Data Supply,,VGraves@securitydatasupply.com,2025-06-17 12:48 PM,1,2,Completed,SECO-LARM USA INC,2025-07-09 11:19 AM
2506039,2025-06-16 04:17 PM,UPS Delivery Refusal,,support@seco-larm.com,2025-06-16 04:17 PM,2,2,Completed,SECO-LARM USA INC,2025-06-26 10:42 AM
2506042,2025-06-17 02:24 PM,Castle Gate Systems,,cody@castlegatesystems.com,2025-06-16 01:56 PM,1,1,Completed,SECO-LARM USA INC,2025-07-25 12:07 PM
2506044,2025-06-19 11:59 AM,Wesco,,Dominic.Stigler@Anixter.com,2025-06-16 09:07 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-19 11:59 AM
2506038,2025-06-13 01:57 PM,Quick key Locksmith,,storequickkey@gmail.com,2025-06-13 01:14 PM,1,1,Completed,SECO-LARM USA INC,2025-07-07 10:35 AM
2506034,2025-06-13 12:26 PM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-06-13 07:51 AM,1,1,Completed,SECO-LARM USA INC,2025-07-15 03:38 PM
2506033,2025-06-13 12:26 PM,silmar electronics,,MSOTO@SILMARELECTRONICS.COM,2025-06-13 07:00 AM,1,1,Completed,SECO-LARM USA INC,2025-07-07 10:34 AM
2506037,2025-06-13 12:57 PM,Alarm Products Distributors,,rmadepartment@apdmn.com,2025-06-12 02:13 PM,1,4,Issued RMA,SECO-LARM USA INC,2025-06-13 12:57 PM
2506036,2025-06-13 12:55 PM,Wesco,,Whitney.Green@anixter.com,2025-06-12 12:36 PM,1,1,Completed,SECO-LARM USA INC,2025-07-09 11:19 AM
2506032,2025-06-13 12:26 PM,Electronic Entry Distributors,,ltacheny@electronicentrydistributors.com,2025-06-12 08:44 AM,1,1,Waiting to ship out,SECO-LARM USA INC,2025-07-08 10:29 AM
2506030,2025-06-12 08:10 AM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-06-11 06:23 PM,1,1,Completed,SECO-LARM USA INC,2025-07-15 03:38 PM
2506035,2025-06-13 12:55 PM,Banner Solutions,,yahaira.zamora@bannersolutions.com,2025-06-11 04:43 PM,1,1,Completed,SECO-LARM USA INC,2025-07-09 10:24 AM
2506029,2025-06-12 08:10 AM,Angie Henyan,,familyhistorymystery@yahoo.com,2025-06-11 03:12 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-12 08:10 AM
2506026,2025-06-11 01:07 PM,A to Z Security and Sound,,carlton@atozsecurityandsound.com,2025-06-11 12:32 PM,1,5,Awaiting management approval,SECO-LARM USA INC,2025-07-22 11:37 AM
2506025,2025-06-11 01:06 PM,Bobby Bolin,,bbolin@thinkdsc.com,2025-06-11 11:30 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-11 01:06 PM
2506024,2025-06-11 01:06 PM,PAM DISTRIBUTING,,vwarren@pamdist.com,2025-06-11 08:59 AM,1,1,Completed,SECO-LARM USA INC,2025-07-07 09:52 AM
2506023,2025-06-11 01:06 PM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-06-10 07:16 PM,1,1,Completed,SECO-LARM USA INC,2025-07-15 03:49 PM
2506017,2025-06-10 03:53 PM,"SILMAR ELECTRONICS, INC",,mparra@silmarelectronics.com,2025-06-10 03:53 PM,1,2,Completed,SECO-LARM USA INC,2025-07-09 10:24 AM
2506022,2025-06-11 01:06 PM,Redrock Fence,,redrockfence@comcast.net,2025-06-10 12:58 PM,1,1,Completed,SECO-LARM USA INC,2025-07-15 10:34 AM
2506018,2025-06-11 10:59 AM,"QoreTech, Inc.",,datzent83@gmail.com,2025-06-10 12:55 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-11 10:59 AM
2504011,2025-06-10 12:46 PM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-06-10 12:46 PM,4,59,Completed,SECO-LARM USA INC,2025-07-09 08:28 AM
2506021,2025-06-11 01:06 PM,Design Security Contrlo,,hpinillos@thinkDSC.com,2025-06-10 11:35 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-11 01:06 PM
2506028,2025-06-11 01:25 PM,PIONEER MUSIC COMPANY,,WARRANTY@PMCAV.COM,2025-06-10 10:05 AM,2,2,Issued RMA,SECO-LARM USA INC,2025-06-11 01:25 PM
2506027,2025-06-11 01:25 PM,"Tristate Telecom, Inc.",,baila@tristatelvs.com,2025-06-10 08:21 AM,1,1,Waiting to ship out,SECO-LARM USA INC,2025-07-08 10:25 AM
2506016,2025-06-09 01:45 PM,A1 SECURITY SUPPLY,,WILL@A1ALARM.COM,2025-06-09 01:45 PM,4,4,Waiting to ship out,SECO-LARM USA INC,2025-06-23 11:40 AM
2506020,2025-06-11 01:05 PM,The Security Source Inc.,,rblaha@thesecuritysourceinc.com,2025-06-09 11:43 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-11 01:05 PM
2506015,2025-06-09 10:20 AM,Power shades,,jaxon.meredith@powershades.com,2025-06-09 10:20 AM,1,5,Completed,SECO-LARM USA INC,2025-06-17 08:55 AM
2506019,2025-06-11 01:05 PM,Security Equipment Supply-BR14,,kbutler@sesonline.com,2025-06-09 09:19 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-11 01:05 PM
2506013,2025-06-06 10:53 AM,William McDevitt,,william.mcdevitt@wescodist.com,2025-06-06 08:53 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-06 10:53 AM
2506009,2025-06-05 09:26 AM,ALARMAX,,vmarsh@alarmax.com,2025-06-05 09:26 AM,1,2,Completed,SECO-LARM USA INC,2025-07-07 10:35 AM
2506012,2025-06-06 08:49 AM,Global Electro Integration Inc,,global.elect.integration@gmail.com,2025-06-04 09:16 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-06 08:49 AM
2506011,2025-06-06 08:49 AM,ESC Supply,,kjones@esc-supply.com,2025-06-04 12:53 PM,2,2,Issued RMA,SECO-LARM USA INC,2025-06-06 08:49 AM
2506010,2025-06-06 08:48 AM,Intermountain Lock & Supply,,matt.klepacz@imlss.com,2025-06-04 11:07 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-06-06 08:48 AM
2506008,2025-06-04 09:06 AM,Winstronics,,winstronics@seco-larm.com,2025-06-04 09:06 AM,1,4,Issued RMA,SECO-LARM USA INC,2025-06-04 09:06 AM
2506007,2025-06-04 08:59 AM,UPS Delivery Refusal,,support@seco-larm.com,2025-06-04 08:59 AM,1,1,Completed,SECO-LARM USA INC,2025-07-03 12:49 PM
2506006,2025-06-03 08:42 AM,A1 SECURITY SUPPLY,,WILL@A1ALARM.COM,2025-06-02 01:27 PM,1,1,Completed,SECO-LARM USA INC,2025-06-18 08:19 AM
2506001,2025-06-02 12:18 PM,Security Concepts Of Metro NY,,mbasora@securityconceptsny.com,2025-06-02 12:18 PM,1,1,Completed,SECO-LARM USA INC,2025-07-07 10:34 AM
2506005,2025-06-03 08:42 AM,R&H WHOLESALE SUPPLY,,jimmy.wallace@rhwholesale.com,2025-06-02 08:32 AM,1,1,Completed,SECO-LARM USA INC,2025-07-09 10:23 AM
2506004,2025-06-03 08:41 AM,Intermountain Lock and Security Supply - IML,,jayson.bly@imlss.com,2025-05-29 09:21 AM,1,1,Waiting to ship out,SECO-LARM USA INC,2025-07-14 11:43 AM
2505056,2025-05-29 07:58 AM,BG Distribution,,Nvoyer@bgdistribution.ca,2025-05-29 07:58 AM,2,2,Completed,SECO-LARM USA INC,2025-07-09 09:17 AM
2506003,2025-06-03 08:39 AM,MultiSales Inc.,,purchasing@MultiSalesInc.com,2025-05-29 07:26 AM,1,1,Completed,SECO-LARM USA INC,2025-06-18 08:20 AM
2505069,2025-05-28 04:35 PM,"Brooker Fence Co., Inc.",,office@brookerfenceco.com,2025-05-28 01:07 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-28 04:35 PM
2506014,2025-06-06 12:04 PM,Amazon Operators & Access Control,,jason.amazonoperators@gmail.com,2025-05-28 09:27 AM,1,1,Completed,SECO-LARM USA INC,2025-07-21 07:53 AM
2505061,2025-05-28 08:03 AM,Southwest Automated Security,,tobiemay@aol.com,2025-05-28 08:03 AM,1,1,Completed,SECO-LARM USA INC,2025-06-13 10:55 AM
2505068,2025-05-28 04:28 PM,"Radiotronics, INC",,service@acek9.com,2025-05-28 07:52 AM,3,3,Completed,SECO-LARM USA INC,2025-06-18 08:21 AM
2506002,2025-06-03 08:37 AM,The Systems Depot,,jessica.walling@sdepot.com,2025-05-28 06:57 AM,1,1,Completed,SECO-LARM USA INC,2025-07-09 10:15 AM
2505060,2025-05-27 04:03 PM,Able Locksmiths,,mike.ablelock@gmail.com,2025-05-27 02:34 PM,1,1,Completed,SECO-LARM USA INC,2025-06-13 10:54 AM
2505067,2025-05-28 08:43 AM,Intermountain Lock & Supply,,matt.klepacz@imlss.com,2025-05-27 02:04 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-28 08:43 AM
2505059,2025-05-27 03:32 PM,AlarMax Distributors Inc,,elouton@alarmax.com,2025-05-27 01:11 PM,1,1,Completed,SECO-LARM USA INC,2025-06-11 04:34 PM
2505058,2025-05-27 03:32 PM,Broad Point Power Solutions,,bleblanc@broadpointps.com,2025-05-27 12:15 PM,1,1,Completed,SECO-LARM USA INC,2025-06-11 04:33 PM
2505066,2025-05-28 08:43 AM,Security Options,,support@securityoptionsltd.com,2025-05-27 11:46 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-28 08:43 AM
2505065,2025-05-28 08:43 AM,ESC SUPPLY,,jglover@esc-supply.com,2025-05-27 08:51 AM,1,1,Completed,SECO-LARM USA INC,2025-07-09 09:42 AM
2505064,2025-05-28 08:43 AM,ESC SUPPLY,,jglover@esc-supply.com,2025-05-27 08:48 AM,1,1,Completed,SECO-LARM USA INC,2025-07-09 09:41 AM
2505063,2025-05-28 08:42 AM,APA Inc,,rma@apainc.ca,2025-05-26 01:16 PM,2,2,Completed,SECO-LARM USA INC,2025-06-19 01:34 PM
2505057,2025-05-27 03:23 PM,David Willson,,willson.david.l@gmail.com,2025-05-23 10:44 AM,1,1,Completed,SECO-LARM USA INC,2025-06-02 04:11 PM
2505055,2025-05-27 10:16 AM,Mon équilibre,,janie.gagnon@vraidd.ulaval.ca,2025-05-23 09:03 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-27 10:16 AM
2505062,2025-05-28 08:42 AM,BANNER SOLUTIONS,,debi.wade@bannersolutions.com,2025-05-22 09:58 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-28 08:42 AM
2505054,2025-05-23 08:32 AM,Alarmist Security System,,dillon@alarmist.net,2025-05-21 03:51 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-23 08:32 AM
2505053,2025-05-23 08:32 AM,Made Rite Fence Co,,sjump@fencemaderite.com,2025-05-21 10:58 AM,1,1,Completed,SECO-LARM USA INC,2025-06-18 08:18 AM
2505052,2025-05-23 08:32 AM,A1 SECURITY SUPPLY,,WILL@A1ALARM.COM,2025-05-21 09:45 AM,1,1,Completed,SECO-LARM USA INC,2025-06-13 10:49 AM
2505051,2025-05-23 08:32 AM,"TEM Systems, Inc.",,jlongo@temsystems.com,2025-05-21 09:34 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-23 08:32 AM
2505050,2025-05-21 09:22 AM,ESC-SUPPLY,,jmobley@esc-supply.com,2025-05-21 09:22 AM,1,1,Completed,SECO-LARM USA INC,2025-06-02 04:10 PM
2505049,2025-05-21 07:38 AM,SECURITY EQUIPMENT SUPPLY,,RETURNS.MEMPHIS@SESONLINE.COM,2025-05-21 06:42 AM,2,2,Completed,SECO-LARM USA INC,2025-06-13 10:56 AM
2505035,2025-05-20 12:23 PM,Wesco/Anixter,,art.artinjian@anixter.com,2025-05-19 02:39 PM,2,2,Completed,SECO-LARM USA INC,2025-06-25 10:28 AM
2505030,2025-05-19 12:57 PM,AVX Tech Warehouse,,warehouse@avx-tech.com,2025-05-19 11:52 AM,1,1,Completed,SECO-LARM USA INC,2025-06-13 04:21 PM
2505034,2025-05-20 12:23 PM,ALARMAX,,AFLETCHER@ALARMAX.COM,2025-05-19 10:33 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-20 12:23 PM
2505029,2025-05-19 12:57 PM,AVX Tech Warehouse,,warehouse@avx-tech.com,2025-05-19 06:59 AM,1,1,Completed,SECO-LARM USA INC,2025-06-25 04:20 PM
2505033,2025-05-20 12:23 PM,Wesco,,Whitney.Green@anixter.com,2025-05-19 05:48 AM,1,1,Completed,SECO-LARM USA INC,2025-06-25 10:28 AM
2505028,2025-05-16 01:00 PM,AVX Tech Warehouse,,warehouse@avx-tech.com,2025-05-16 10:48 AM,1,1,Completed,SECO-LARM USA INC,2025-06-02 04:05 PM
